album,song_title,writers,capo,intro_chords,verse_chords,verse_lyrics,pre_chorus_chords,pre-chorus_lyrics,chorus_chords,chorus_lyrics,post_chorus_chords,Post_Chorus_Lyrics,bridge_chords,bridge_lyrics,outro_chords,outro_lyrics,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Folklore,seven,Taylor Swift  Aaron Dessner,0,NONE,G-Dm-C,Please picture me in the trees/I hit my peak at seven/Feet in the swing over the creek/I was too scared to jump in/But I  I was high in the sky/With Pennsylvania under me/Are there still beautiful things?/NONE,NONE,Sweet tea in the summer/Cross your heart  won't tell no other/And though I can’t recall your face/I still got love for you/Your braids like a pattern/Love you to the Moon and to Saturn/Passed down like folk songs/The love lasts so long,Dm-C-F-G,NONE,NONE,NONE,Am-C-G,And I've been meaning to tell you/I think your house is haunted/Your dad is always mad and that must be why/And I think you should come live with me/And we can be pirates/Then you won't have to cry/Or hide in the closet/And just like a folk song/Our love will be passed on,Am-C-G-C,NONE,False,False,seven,87,NONE,G-Dm-C,NONE,Dm-C-F-G,NONE,Am-C-G,Am-C-G-C
Lover,it's nice to have a friend,Taylor Swift Louis Bell Adam King Feeney,0,Am-G,Am-G,School bell rings  walk me home/Sidewalk chalk  covered in snow/Lost my gloves  you gave me one/Wanna hang out? Yeah  sounds like fun/Video games  you pass me a note/Sleeping in tents/It’s nice to have a friend/It’s nice to have a friend,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Am-G,NONE,True,False,its nice to have a friend,97,Am-G,Am-G,NONE,NONE,NONE,NONE,Am-G
Midnights,midnight rain,Taylor Swift Jack Antonoff,0,NONE,F-C-C-G-Am-F,My town was a wasteland/Full of cages full of fences/Pageant queens and big pretenders/But for some it was paradise/ My boy was a montage/A slow-motion love potion/Jumping off things in the ocean/ I broke his heart 'cause he was nice/He was sunshine I was midnight rain,C-G-Am-F-C-G-Am,He wanted it comfortable I wanted that pain/He wanted a bride I was making my own name/Chasing that fame he stayed the same/All of me changed like midnight,NONE,NONE,NONE,NONE,F-C-G-Am,I guess sometimes we all get/Just what we wanted just what we wanted/And he never thinks of me/Except for when I'm on TV/I guess sometimes we all get,NONE,NONE,False,False,midnight rain,119,NONE,F-C-C-G-Am-F,C-G-Am-F-C-G-Am,NONE,NONE,F-C-G-Am,NONE
The Tortured Poets Department,the manuscript,Taylor Swift,0,C-G-G-F,C-G-G-F,Now and then she rereads the manuscript/Of the entire torrid affair/They compared their licenses/He said 'I'm not a donor but/I’d give you my heart if you needed it’/She rolled her eyes and said/‘You're a professional’,NONE,NONE,NONE,NONE,NONE,NONE,G-Am-F-G-C-F,And the years passed/Like scenes of a show/The Professor said to write what you know/Lookin’ backwards/Might be the only way to move forward/Then the actors/Were hitting their marks,NONE,NONE,True,False,the manuscript,105,C-G-G-F,C-G-G-F,NONE,NONE,NONE,G-Am-F-G-C-F,NONE
1989 (Taylor's Version),bad blood (taylor's version),Taylor Swift   Max Martin   Shellback,0,N.C,C-G-D-Em,Did you have to do this?/I was thinking that you could be trusted/Did you have to ruin what was shiny?/Now it's all rusted/Did you have to hit me where I'm weak?/Baby   I couldn't breathe/And rub it in so deep/Salt in the wound like you're laughin' right at me,C-G-D-Em,Oh   it's so sad to/Think about the good times/You and I,N.C-C-G-D-Em,Cause   baby   now we got bad blood/You know it used to be mad love/So take look what you've done/'Cause   baby   now we got bad blood   hey/Now we got problems/And I don't think we can solve them/You made really deep cut/And   baby   now we got bad blood   hey,NONE,NONE,C-G-D-Em,Band-aids don't fix bullet holes/You say sorry just for show/If you live like that   you live with ghosts/Band-aids don't fix bullet holes (Hey)/You say sorry just for show (Hey)/If you live like that   you live with ghosts (Hey)/mmmIf you love like that   blood runs cold,NONE,NONE,False,False,bad blood taylors version,19,N.C,C-G-D-Em,C-G-D-Em,N.C-C-G-D-Em,NONE,C-G-D-Em,NONE
The Tortured Poets Department,florida!!! (featuring florence + the machine),Taylor Swift Florence Welch,0,NONE,F-Am-G,You can beat the heat if you beat the charges too/They said I was a cheat I guess it must be true/And my friends all smell like weed or little babies/And the city reeks of driving myself crazy,F-Am-G,Little did you know your home's really only/A town you're just a guest in/So you work your life away just to pay/For a time-share down in Destin,G-F-G-F,Florida/Is one hell of a drug/Florida/Can I use you up?,NONE,NONE,G-F-C-G-Am-F-C,I need to forget so take me to Florida/I’ve got some regrets I'll bury thEm in Florida/Tell me I'm despicable say it's unforgivable/At least the dolls are beautiful fuck me up Florida/I need to forget so take me to Florida,NONE,NONE,True,False,florida!!! featuring florence + the machine,218,NONE,F-Am-G,F-Am-G,G-F-G-F,NONE,G-F-C-G-Am-F-C,NONE
1989 (Taylor's Version),'slut!' (taylor's version) (from the vault),Taylor Swift   Jack Antonoff   Patrik Berger,0,D,D-Bm-F#m-G,Flamingo pink   Sunrise Boulevard/Clink   clink   being this young is art/Aquamarine   moonlit swimming pool/What if   all I need is you?,D-Bm-F#m-G,Got love-struck   went straight to my head/Got lovesick all over my bed/Love to think you'll never forget/Handprints in wet cement/Adorned with smoke on my clothes/Lovelorn and nobody knows//Love thorns all over this rose/I’ll pay the price   you won’t,G-F#m-Bm-A,But if I'm all dressed up/They might as well be lookin’ at us/And if they call me slut/You know it might be worth it for once/And if I'm gonna be drunk/I might as well be drunk in love,NONE,NONE,D-Bm-F#m,Half asleep   takin' your time/In the tangerine   neon light   this is luxury/You’re not sayin' you're in love with me/But you're going to/Half awake   takin' your chances/It's big mistake   I said   'It might blow up in your/Pretty face'   I'm not saying   'Do it anyway' (Do it anyway)/But you're going to,G-F#m-Bm-NC,Up!/And if they call me slut!/You know it might be worth it for once/And if I'm gonna be drunk!/I might as well be drunk in love,False,False,slut! taylors version from the vault,12,D,D-Bm-F#m-G,D-Bm-F#m-G,G-F#m-Bm-A,NONE,D-Bm-F#m,G-F#m-Bm-NC
Taylor Swift,tim mcgraw,Taylor Swift Liz Rose,5,NONE,G-Em7-Cadd9-Dsus4-D,He said the way my blue eyes shined/Put those Georgia stars to shame that night/I said that’s a lie/Just a boy in a Chevy truck that had a tendency/Of getting stuck on back roads at night/And I was right there beside him all summer long/And then the time we woke up to find that summer gone but,NONE,NONE,G-Em7-Cadd9-Dsus4-D-Dsus2,When you think Tim McGraw I hope you think my favorite song/The one we danced to all night long/The moon like a spotlight on the lake/When you think happiness I hope you think that little black dress/Think of my head on your chest and my old faded blue jeans/When you think Tim McGraw ... I hope you think of me,NONE,NONE,Cadd9-Dsus4-D-Dsus2,And I’m back for the first time since then/I’m standing on your street/And there’s a letter left on your doorstep/And the first thing that you’ll read,G-Em7-Cadd9-Dsus4-D-G,He said the way my blue eyes shined/Put those Georgia stars to shame that night/I said that’s a lie,False,False,tim mcgraw,36,NONE,C-Am7-Fadd9-Gsus4-G,NONE,C-Am7-Fadd9-Gsus4-G-Gsus2,NONE,Fadd9-Gsus4-G-Gsus2,C-Am7-Fadd9-Gsus4-G-C
Folklore,mad woman,Taylor Swift  Aaron Dessner,1,Em-G-D,Bm-D-A-A-Bm-D-A-Em-G-D,What did you think I'd say to that?/Does a scorpion sting when fighting back?/They strike    to kill  and you know I will/You know I will/What do you sing on your drive home?/Do you see my face in the neighbor's lawn?/Does she smile?/Or does she mouth  'Fuck you forever’?,G-D-A-G-D,Every time you call me crazy  I get more crazy/What about that?/And when you say I seem angry  I get more angry,G-Em-D-G-D-A,And there's nothing like a mad woman/What a shame she went mad/No one likes a mad woman/You made her like that/And you'll poke that bear 'til her claws come out/And you find something to wrap your noose around/And there's nothing like a mad  woman,NONE,NONE,G-Em-D-G-D-A,I’m taking my time  taking my time/‘Cause you took everything from me/Watching you climb  watching you climb/Over people like me/The master of spin has a couple side flings/Good wives always know/She should be mad  should be scathing like me  but/No one likes a mad   woman,A-G-Em-Bm-G-D-A,What a shame she went mad/You made her like that,False,False,mad woman,94,Fm-G#-D#,Cm-D#-A#-A#-Cm-D#-A#-Fm-G#-D#,G#-D#-A#-G#-D#,G#-Fm-D#-G#-D#-A#,NONE,G#-Fm-D#-G#-D#-A#,A#-G#-Fm-Cm-G#-D#-A#
Fearless (Taylor's Version),fifteen (taylor's version),Taylor Swift,0,G-C-Em-C,G-C-Em-C,You take a deep breath and you walk through the doors/It’s the mornin' of your very first day/You say hi to your friends you ain't seen in a while/Try and stay out of everybody's way/ It's your freshman year and you're gonna be here/For the next four years in this town/Hopin’ one of those senior boys will wink at you and say/ 'You know  I haven't seen you around before’,NONE,NONE,G-Em-D-C,’Cause when you're fifteen and  somebody tells you they love you/You’re gonna believe them/And when you're fifteen  feelin' like there's nothin' to figure out/Well  count to ten  take it in/ This is life before you know who you're gonna be/ At fifteen,G-C-Em-C,La-la-la  la-la-la  la-la-la-la,C-Em-D-G-D,When all you wanted was to be wanted/Wish you could go back and tell yourself what you know now/ Back then  I swore I was gonna marry him someday/But I realized some bigger dreams of mine/And Abigail gave everything she had/To a boy who changed his mind/And we both cried,G-C-Em-C,Your very first day/Take a deep breath  girl/Take a deep breath as you walk through the doors,False,False,fifteen taylors version,68,G-C-Em-C,G-C-Em-C,NONE,G-Em-D-C,G-C-Em-C,C-Em-D-G-D,G-C-Em-C
