album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Taylor Swift,tim mcgraw,False,False,tim mcgraw,36,NONE,C-Am7-Fadd9-Gsus4-G,NONE,C-Am7-Fadd9-Gsus4-G-Gsus2,NONE,Fadd9-Gsus4-G-Gsus2,C-Am7-Fadd9-Gsus4-G-C
Speak Now(Taylor’s Version),ours (taylor's version),True,False,ours taylors version,184,C-Am7-Fadd9,C-Am7-Fadd9,NONE,Fadd9-G-C-Am7,NONE,Am7-G-Fadd9-Am7-G,NONE
Fearless (Taylor's Version),you’re not sorry (taylor's version),False,False,you’re not sorry taylors version,65,D#m-B-F#-C#,D#m-B-F#-C#,NONE,C#-D#m-B-F#-C#,NONE,D#m-B-F#-C#,D#m-B-F#-C#
Folklore,exile (featuring bon iver),False,False,exile featuring bon iver,82,F#-D#m,F#-D#m,NONE,B-C#-D#m-F#,F#-D#m-F#-D#m,D#m-C#-B-F#,D#m-C#-B-F#
RED (Taylor's Version),everything has changed (taylor's version),False,False,everything has changed taylors version,162,F#-B-F#-B,F#-D#m-B-C#,F#-G#m-B-D#m-C#,F#-D#m-C#-B-F#,NONE,D#m-B-F#-C#,NONE
Fearless (Taylor's Version),hey stephen (taylor's version),True,False,hey stephen taylors version,63,F#-C#-B,F#-C#-B,NONE,F#-C#-B-C#,C#-B-F#-C#-B,D#m-C#-F#-B,C#-B-C#-F#-C#-B
Evermore,happiness,True,False,happiness,46,B-E-B-E,B-E-C#m-F#,NONE,B-E-B-C#m-F#-E,NONE,B-C#m-B-E-G#m,F#m-E-A-B
RED (Taylor's Version),i knew you were trouble (taylor's version),False,False,i knew you were trouble taylors version,163,F#,F#-C#-D#m-B,F#-C#-D#m,D#m-B-C#-F#-C#,B-C#-F#-C#-D#m,B-D#m-B-F#,D#m-B-C#-F#-C#
The Tortured Poets Department,down bad,False,False,down bad,223,NONE,B-F#-D#m-E,B,B-F#-G#m-E,NONE,B-G#m-E,B-D#m-G#m-E
The Tortured Poets Department,fortnight (featuring post malone),False,False,fortnight featuring post malone,222,B,E-F#-D#m-G#m,NONE,E-F#-D#m-G#m,NONE,E-F#-D#m-G#m,E-F#-D#m-G#m
Fearless (Taylor's Version),you belong with me (taylor's version),False,False,you belong with me taylors version,64,F#-C#-F#,F#-C#-G#m-B,G#m-B-F#-C#,F#-C#-G#m-B,NONE,G#m-B-F#-C#,C#-G#m-B-F#
Midnights,bigger than the whole sky,False,False,bigger than the whole sky,134,NONE,F#-C#-G#m-B,NONE,F#-C#-G#m-B,NONE,G#m-B-F#-C#,NONE
Folklore,august,False,False,august,80,NONE,F-A#-Gm,NONE,F-A#-Gm-C,NONE,F-A#-Gm-C,F-A#-Gm-C
Midnights,the great war,True,False,the great war,133,NONE,F-Gm-F-A#,NONE,D#-A#-Gm-F,NONE,Cm-A#-Gm-F,A#-Gm-F-D#
Midnights,hits different,True,False,hits different,132,F-A#-F-C,F-A#-F-C,NONE,F-A#-Dm-A#-Gm-C,F-A#,F-A#,F-Dm-A#-Gm-C
Folklore,illicit affairs,False,False,illicit affairs,86,A#-Gm-D#-Dm-F,A#-Gm-D#-Dm-F,NONE,Dm-D#-F,NONE,A#-Gm-D#-F,Gm-A#-D#-F-A#
Fearless (Taylor's Version),forever & always (taylor's version),False,False,forever & always taylors version,69,NONE,D#-F-D#-A#-F,NONE,D#-A#-F-Gm,Gm-A#-D#,Gm-D#-A#-F,Gm-A#-D#
Evermore,right where you left me,False,False,right where you left me,49,NONE,F-Gm-D#-A#,F-Gm-D#-A#,F-Gm-D#,NONE,Dm-D#-F-D#-A#-F-Cm,F-Gm-D#-A#-F
Evermore,marjorie,False,False,marjorie,50,F,Dm-A#-F-C,F-A#-F-C,Dm-A#-F-C,NONE,Dm-A#-F-C-Gm,Gm-A#-F-C
Evermore,no body no crime,False,False,no body no crime,47,Gm-D#-F-Cm,Gm-D#-F-Cm,NONE,Gm-Cm-D#-F,D#-F-Cm-Gm,Cm-Gm-Dm-Gm-Cm-D7,Gm-Cm-D#-F
The Tortured Poets Department,the smallest man who ever lived,False,False,the smallest man who ever lived,231,NONE,A#-D#-F-Gm-D#-F,NONE,Gm-D#-F,NONE,A#-Gm-F-D#,NONE
Folklore,peace,False,False,peace,88,Gm-F-A#-F-Gm-F-C-F,Gm-F-A#-F-Gm-F-C-F,NONE,Gm-F-Gm-F,NONE,NONE,NONE
1989 (Taylor's Version),new romantics (taylor's version),False,False,new romantics taylors version,3,A#-Dm-C-Gm,A#-Dm-C-Gm,NONE,Gm-A#-F-C,A#-F-C-Gm,A#-Dm-C-Gm-C,NONE
RED (Taylor's Version),girl at home (taylor's version),False,False,girl at home taylors version,154,CHORUS,A#-F-C-Dm-A#-F-C,Dm-A#-F-C,A#-F-C,A#-Dm-C-A#,C-Dm-A#-C,A#-F-C
The Tortured Poets Department,cassandra,True,True,cassandra,210,NONE,FM-D#-A#,FM-D#-A#,Gm-A#-F,NONE,D#-Gm-F-D#-A#,D#-Gm-F
1989 (Taylor's Version),all you had to do was stay (taylor's version),False,False,all you had to do was stay taylors version,2,A#-F-C-Dm,A#-F-C-Dm-C,NONE,A#-F-C-Dm-C,A#-F-C-Dm-A#-F-C,C-A#-F-C-Dm,NONE
1989 (Taylor's Version),blank space (taylor's version),False,False,blank space taylors version,5,F,F-Dm-A#-C,NONE,F-Dm-Gm-A#-,NONE,F,NONE
The Tortured Poets Department,how did it end?,False,False,how did it end?,232,F-Dm-C-C,F-Dm-C-C,NONE,F-C-G,NONE,Dm-G-G##m-F-C,NONE
Taylor Swift,teardrops in my guitar,False,False,teardrops in my guitar,27,NONE,A#-Gm-D#-F,NONE,A#-F-Gm-D#,NONE,Gm-D#-A#-F,A#-Gm-D#-F-A#
